Processor;image.ID;sheet name;sheet and slide number;Title;Title.object;Title.workType;Title.workType;Title.workType;Title.imageView;Location.type;Location.country;Location.state-province;Location.city-county;Location.repository;Location.ARTSTOR;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;creator.Name;creator.Nationality;creator.Dates;creator.Role;creator.NameSource;creator.Display;Date.earliest;Date.latest;Date.display;Date.stylePeriod;Date.stylePeriod.source;Date.stylePeriod;Date.stylePeriod.source;#culturalContext;#culturalContext.source;keyword;Subject.source;keyword;Subject.source;keyword;Subject.source;Source.photographer;source.Contributor;Source.institutionalContributor;Source.date;Source.Displaydate;dateScanned;dateProcessed;Rights
Hillel;1200002;Week 8-4;;Flamengo Park;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1960;1965;opened 1965;Modernist;aat;;;Brazilian;ulan;parks (recreation areas);aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200003;Week 8-4;;Flamengo Park;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1960;1965;opened 1965;Modernist;aat;;;Brazilian;ulan;parks (recreation areas);aat;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200004;Week 8-4;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200005;Week 8-4;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200006;Week 8-4;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200007;Week 8-4;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200008;Week 8-5;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200009;Week 8-5;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200010;Week 8-5;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;aerial view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200011;Week 8-5;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200012;Week 8-5;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200013;Week 8-5;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200014;Week 8-5;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
Hillel;1200015;Week 8-5;;Luiz Cezar Fernandes Garden;;Designed Landscapes;;;general view;current site;Brazil;Sudeste;Rio de Janeiro;Foundation for Landscape Studies;1000047;Burle Marx, Roberto;Brazilian;1909-1994;landscape architect;ulan;Roberto Burle Marx;;;;;;;;;;;;;1948;1948;from 1948;Modernist;aat;;;Brazilian;ulan;;;;;;;Rogers, Elizabeth Barlow, 1936-;Rogers, Elizabeth Barlow, 1936-;Foundation for Landscape Studies;1995-09;September 1995;08/26/08;12/04/08;© Elizabeth Barlow Rogers
